source,target,value,color
"SVP","SVP.",76569,"yellowgreen"
"FDP","SVP.",1933,"darkblue"
"BDP","SVP.",1707,"gold"
"CVP","SVP.",1491,"orange"
"GLP","SVP.",380,"lawngreen"
"SP","SVP.",308,"firebrick"
"Ohne","SVP.",7708,"grey"
"SVP","FDP.",2415,"yellowgreen"
"FDP","FDP.",25626,"darkblue"
"BDP","FDP.",3177,"gold"
"CVP","FDP.",1413,"orange"
"GLP","FDP.",679,"lawngreen"
"SP","FDP.",824,"firebrick"
"Ohne","FDP.",5490,"grey"
"SVP","BDP.",1480,"yellowgreen"
"FDP","BDP.",1566,"darkblue"
"BDP","BDP.",32100,"gold"
"CVP","BDP.",1551,"orange"
"GLP","BDP.",787,"lawngreen"
"SP","BDP.",1111,"firebrick"
"Ohne","BDP.",4948,"grey"
"SVP","CVP.",2330,"yellowgreen"
"FDP","CVP.",1723,"darkblue"
"BDP","CVP.",3505,"gold"
"CVP","CVP.",35464,"orange"
"GLP","CVP.",803,"lawngreen"
"SP","CVP.",1309,"firebrick"
"Ohne","CVP.",5753,"grey"
"SVP","GLP.",530,"yellowgreen"
"FDP","GLP.",659,"darkblue"
"BDP","GLP.",1953,"gold"
"CVP","GLP.",819,"orange"
"GLP","GLP.",13738,"lawngreen"
"SP","GLP.",2812,"firebrick"
"Ohne","GLP.",3162,"grey"
"SVP","SP.",526,"yellowgreen"
"FDP","SP.",587,"darkblue"
"BDP","SP.",2143,"gold"
"CVP","SP.",1085,"orange"
"GLP","SP.",1998,"lawngreen"
"SP","SP.",42001,"firebrick"
"Ohne","SP.",4652,"grey"
"Ohne","Leer.",2227,"grey"
